turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,suerte2,suerte,no,no,no,no,no,1500,1500,1500,0,0
2,bob,impuesto1,impuesto,no,no,si,no,no,1500,1500,1300,0,0
3,carla,gris2,propiedad,si,no,no,no,no,1500,1500,1400,0,1
4,diego,estacion1,estacion,si,no,no,no,no,1500,1500,1300,0,1
5,elena,suerte2,suerte,no,no,no,no,no,1500,1500,1500,0,0
6,fernando,estacion1,estacion,no,si,no,no,no,1500,1500,1460,0,0
7,gema,impuesto1,impuesto,no,no,si,no,no,1500,1500,1300,0,0
8,hugo,gris2,propiedad,no,si,no,no,no,1500,1500,1480,0,0
9,irene,gris1,propiedad,si,no,no,no,no,1500,1500,1400,0,1
10,javier,suerte1,suerte,no,no,no,no,no,1500,1500,1500,0,0
11,ana,impuesto2,impuesto,no,no,si,no,no,1500,1500,1350,0,0
12,bob,visita_carcel,visita_carcel,no,no,no,no,no,1300,1300,1300,0,0
13,carla,naranja2,propiedad,si,no,no,no,no,1420,1420,1240,1,2
14,diego,gris2,propiedad,no,si,no,no,no,1340,1340,1320,1,1
15,elena,naranja2,propiedad,no,si,no,no,no,1500,1500,1464,0,0
16,fernando,gris2,propiedad,no,si,no,no,no,1460,1460,1440,0,0
17,gema,rosa3,propiedad,si,no,no,no,no,1300,1300,1140,0,1
18,hugo,naranja1,propiedad,si,no,no,no,no,1480,1480,1300,0,1
19,irene,gris3,propiedad,si,no,no,no,no,1400,1400,1280,1,2
20,javier,gris3,propiedad,no,si,no,no,no,1500,1500,1476,0,0
21,ana,suerte3,suerte,no,no,no,no,no,1350,1350,1350,0,0
22,bob,rojo1,propiedad,si,no,no,no,no,1300,1300,1080,0,1
23,carla,rojo3,propiedad,si,no,no,no,no,1316,1316,1076,2,3
24,diego,suerte3,suerte,no,no,no,no,no,1320,1320,1320,1,1
25,elena,rojo3,propiedad,no,si,no,no,no,1464,1464,1416,0,0
26,fernando,estacion2,estacion,si,no,no,no,no,1440,1440,1240,0,1
27,gema,parking,parking,no,no,no,no,no,1140,1140,1140,1,1
28,hugo,naranja2,propiedad,no,si,no,no,no,1300,1300,1264,1,1
29,irene,naranja2,propiedad,no,si,no,no,no,1304,1304,1268,2,2
30,javier,naranja1,propiedad,no,si,no,no,no,1476,1476,1440,0,0
31,ana,estacion3,estacion,si,no,no,no,no,1350,1350,1150,0,1
32,bob,amarillo3,propiedad,si,no,no,no,no,1080,1080,800,1,2
33,carla,impuesto3,impuesto,no,no,si,no,no,1196,1196,1096,3,3
34,diego,impuesto3,impuesto,no,no,si,no,no,1320,1320,1220,1,1
35,elena,verde1,propiedad,si,no,no,no,no,1416,1416,1116,0,1
36,fernando,suerte4,suerte,no,no,no,no,no,1240,1240,1240,1,1
37,gema,estacion3,estacion,no,si,no,no,no,1140,1140,1100,1,1
38,hugo,amarillo1,propiedad,si,no,no,no,no,1300,1300,1040,1,2
39,irene,estacion3,estacion,no,si,no,no,no,1268,1268,1228,2,2
