turno,compras_acumuladas
1,0
2,1
3,2
4,2
5,2
6,3
7,3
8,4
9,5
10,6
11,7
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,9
21,10
22,10
23,11
24,11
25,11
26,11
27,11
28,12
29,13
30,13
31,14
32,14
33,14
34,15
35,15
36,16
37,16
38,16
39,16
40,16
41,16
42,17
43,17
44,17
45,18
46,18
47,18
48,18
49,18
50,18
51,19
52,20
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,20
61,20
62,20
63,20
64,21
65,21
66,22
67,23
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,23
77,23
78,23
79,23
80,23
81,23
82,23
83,23
84,23
85,23
86,24
87,24
88,24
89,24
90,24
91,24
92,24
93,24
94,24
95,24
96,24
97,24
98,24
99,24
100,24
